input,output,instruction
Pai,"Chamar o Pai, eu quero chamar o pai, 👨
Pedir Ajuda ao Pai, eu preciso pedir ajuda ao pai, 🆘
Conversar com o Pai, eu gostaria de conversar com o pai, 🗣️
Dizer ""Te Amo"", eu quero dizer ""te amo"" para o pai, ❤️
Pedir Permissão ao Pai, eu preciso pedir permissão ao pai, ✅",
Mãe,"Chamar a Mãe, eu quero chamar a mãe, 👧
Pedir Ajuda à Mãe, eu preciso pedir ajuda à mãe, 🆘
Conversar com a Mãe, eu gostaria de conversar com a mãe, 🗣️
Dizer ""Te Amo"", eu quero dizer ""te amo"" para a mãe, ❤️
Pedir Permissão à Mãe, eu preciso pedir permissão à mãe, ✅",
Família,"Reunir a Família, eu quero reunir a família, 🏡
Fazer uma Refeição Juntos, eu gostaria de fazer uma refeição juntos, 🍽️
Planejar um Encontro Familiar, eu quero planejar um encontro familiar, 📅
Compartilhar Boas Notícias, eu quero compartilhar boas notícias com a família, 🎉
Conversar com a Família, eu gostaria de conversar com a família, 🗣️",
Tia,"Chamar a Tia, eu quero chamar a tia, 👧
Pedir Ajuda à Tia, eu preciso pedir ajuda à tia, 🆘
Conversar com a Tia, eu gostaria de conversar com a tia, 🗣️
Dizer ""Te Amo"", eu quero dizer ""te amo"" para a tia, ❤️
Pedir Permissão à Tia, eu preciso pedir permissão à tia, ✅",
Primos,"Chamar o Primo, eu quero chamar o primo, 👦
Brincar com os Primos, eu gostaria de brincar com os primos, 🎮
Conversar com os Primos, eu quero conversar com os primos, 🗣️
Pedir Ajuda aos Primos, eu preciso pedir ajuda aos primos, 🆘
Passar Tempo com os Primos, eu quero passar tempo com os primos, 🕒",
Amigos,"Chamar um Amigo, eu quero chamar um amigo, 👋
Marcar um Encontro, eu gostaria de marcar um encontro, 📅
Conversar com um Amigo, eu quero conversar com um amigo, 🗣️
Pedir Ajuda a um Amigo, eu preciso pedir ajuda a um amigo, 🆘
Fazer Atividades Juntos, eu quero fazer atividades juntos, 🎲",
Trabalho,"Ir para o Trabalho, eu preciso ir para o trabalho, 🏢
Participar de Reunião, eu quero participar da reunião, 🗂️
Completar Tarefas, eu preciso completar minhas tarefas, ✅
Pedir Ajuda no Trabalho, eu gostaria de pedir ajuda no trabalho, 🆘
Receber Instruções, eu quero receber instruções, 📋",
Necessidades,"Preciso de Ajuda, eu preciso de ajuda, 🤲
Buscar Suporte, eu quero buscar suporte, 🆘
Solicitar Assistência, eu gostaria de solicitar assistência, 🛠️
Informar uma Necessidade, eu quero informar uma necessidade, 📢
Pedir Recursos, eu preciso pedir recursos, 📦",
Compras,"Comprar Roupas, eu quero comprar roupas, 👗
Procurar Ofertas, eu gostaria de procurar ofertas, 🏷️
Pagar Com Cartão, eu preciso pagar com cartão, 💳
Escolher Presentes, eu quero escolher presentes, 🎁
Verificar Preços, eu gostaria de verificar preços, 💵",
Transporte,"Pegar Ônibus, eu preciso pegar o ônibus, 🚌
Chamar um Táxi, eu quero chamar um táxi, 🚖
Verificar Horários de Trem, eu gostaria de verificar os horários de trem, 🚆
Andar de Metrô, eu quero andar de metrô, 🚇
Usar Bicicleta, eu gostaria de usar bicicleta, 🚲",
Saúde,"Marcar Consulta com Especialista, eu quero marcar uma consulta com especialista, 🩺
Tomar Vitaminas, eu preciso tomar vitaminas, 💊
Fazer Exercícios, eu quero fazer exercícios, 🏋️
Seguir Dieta, eu preciso seguir uma dieta, 🥗
Monitorar Pressão Arterial, eu gostaria de monitorar minha pressão arterial, 📈",
Lazer,"Ir ao Cinema, eu quero ir ao cinema, 🎬
Assistir a um Show, eu gostaria de assistir a um show, 🎤
Visitar um Museu, eu quero visitar um museu, 🖼️
Fazer Passeio Cultural, eu gostaria de fazer um passeio cultural, 🏛️
Participar de um Clube, eu quero participar de um clube, 📚",
Tecnologia,"Usar o Computador, eu quero usar o computador, 💻
Configurar o Smartphone, eu preciso configurar o smartphone, 📱
Atualizar Software, eu gostaria de atualizar o software, 🔄
Procurar Informações Online, eu quero procurar informações online, 🌐
Resolver Problemas Técnicos, eu preciso resolver problemas técnicos, ⚙️",
Cozinha,"Preparar Refeição, eu quero preparar uma refeição, 🍳
Seguir Receita, eu gostaria de seguir uma receita, 📜
Comprar Ingredientes, eu preciso comprar ingredientes, 🛒
Organizar a Cozinha, eu quero organizar a cozinha, 🧽
Limpar Utensílios, eu preciso limpar os utensílios, 🧼",
Estudos,"Revisar Matéria, eu preciso revisar a matéria, 📚
Fazer Pesquisa, eu gostaria de fazer uma pesquisa, 🔬
Participar de Grupo de Estudo, eu quero participar de um grupo de estudo, 🧠
Entregar Trabalho, eu preciso entregar um trabalho, 📝
Preparar para Apresentação, eu quero preparar para uma apresentação, 📊",
Relacionamentos,"Expressar Gratidão, eu quero expressar minha gratidão, 🙏
Resolver Conflitos, eu preciso resolver conflitos, 🤝
Planejar Encontro, eu gostaria de planejar um encontro, 📅
Mostrar Apoio, eu quero mostrar apoio, 🤗
Celebrar Aniversário, eu gostaria de celebrar um aniversário, 🎂",
Organização,"Planejar Tarefas, eu preciso planejar tarefas, 📋
Manter Agenda Atualizada, eu quero manter a agenda atualizada, 📅
Organizar Documentos, eu preciso organizar documentos, 📂
Estabelecer Prioridades, eu gostaria de estabelecer prioridades, ✅
Fazer Listas de Compras, eu quero fazer listas de compras, 📝",
Rotina Diária,"Acordar, é hora de acordar, ⏰
Lavar o Rosto, eu quero lavar o rosto, 🚿
Escovar os Dentes, eu preciso escovar os dentes, 🪥
Trocar de Roupa, eu preciso trocar de roupa, 👕
Preparar a Mochila, eu quero preparar minha mochila, 🎒",
Atividades de Estudo,"Fazer Lição de Casa, eu preciso fazer a lição de casa, 📚
Assistir a Aula Online, eu quero assistir a aula online, 💻
Organizar Cadernos, eu preciso organizar meus cadernos, 📓
Revisar Notas, eu quero revisar minhas notas, 📝
Ler um Livro, eu gostaria de ler um livro, 📖",
Socialização,"Brincar com Amigos, eu quero brincar com meus amigos, 🧸
Participar de Jogos em Grupo, eu gostaria de participar de jogos em grupo, 🎲
Compartilhar Brinquedos, eu preciso compartilhar meus brinquedos, 🚂
Convidar para uma Festa, eu quero convidar alguém para uma festa, 🎉
Conversar no Intervalo, eu quero conversar com amigos no intervalo, 🗣️",
Autocuidado,"Usar Creminho, eu quero usar creme, 🧴
Escolher Roupas, eu preciso escolher minhas roupas, 👗
Organizar Meu Espaço, eu quero organizar meu espaço, 🧹
Lavar a Louça, eu preciso lavar a louça, 🍽️
Fazer um Desenho, eu gostaria de fazer um desenho, 🎨",
Transição e Mudança,"Preparar para Sair, eu quero me preparar para sair, 🚪
Mudar de Atividade, eu preciso mudar de atividade, 🔄
Acabar uma Tarefa, eu preciso acabar uma tarefa antes de começar outra, ✅
Avisar Antes de Sair, eu quero avisar antes de sair, 📢
Adaptar a Nova Rotina, eu preciso me adaptar a uma nova rotina, 📅",
Comida,"Escolher um Lanche, eu quero escolher um lanche, 🍎
Pedir Ajuda para Comer, eu preciso de ajuda para comer, 🍽️
Beber Água, eu quero beber água, 💧
Seguir uma Receita Simples, eu gostaria de seguir uma receita simples, 📋
Preparar um Sanduíche, eu quero preparar um sanduíche, 🥪",
Descanso e Relaxamento,"Fazer uma Pausa, eu preciso fazer uma pausa, ⏸️
Ouvir Música Relaxante, eu gostaria de ouvir música relaxante, 🎶
Ler um Livro Calmo, eu quero ler um livro calmo, 📖
Fazer uma Atividade Relaxante, eu gostaria de fazer uma atividade relaxante, 🧩
Usar uma Almofada Confortável, eu quero usar uma almofada confortável, 🛋️",
Ajuda com Emoções,"Falar Sobre Sentimentos, eu quero falar sobre meus sentimentos, 🗣️
Pedir um Abraço, eu preciso de um abraço, 🤗
Desenhar para Relaxar, eu quero desenhar para relaxar, 🎨
Pedir um Tempo, eu preciso de um tempo para mim, ⏳
Usar uma Técnica de Respiração, eu quero usar uma técnica de respiração, 🌬️",
Atividades ao Ar Livre,"Ir ao Parquinho, eu quero ir ao parquinho, 🛝
Brincar na Grama, eu gostaria de brincar na grama, 🌿
Explorar o Jardim, eu quero explorar o jardim, 🌼
Correr no Quintal, eu quero correr no quintal, 🏃
Participar de um Esporte, eu gostaria de participar de um esporte, ⚽",
Rotina de Sono,"Preparar para Dormir, eu preciso preparar para dormir, 🛏️
Ler uma História, eu quero ler uma história antes de dormir, 📖
Colocar o Pijama, eu quero colocar o pijama, 👘
Desligar as Luzes, eu preciso desligar as luzes, 💡
Usar um Pelúcia, eu quero usar um pelúcia para dormir, 🧸",
Escolhas e Preferências,"Escolher um Filme, eu quero escolher um filme, 🎥
Decidir o Que Vestir, eu preciso decidir o que vestir, 👗
Selecionar um Brinquedo, eu gostaria de selecionar um brinquedo, 🧸
Escolher o Lugar para Comer, eu quero escolher onde comer, 🍽️
Optar por uma Atividade, eu preciso optar por uma atividade, 🎨",
Atividades em Casa,"Arrumar o Quarto, eu preciso arrumar o quarto, 🛏️
Limpar a Mesa, eu quero limpar a mesa, 🧽
Organizar Brinquedos, eu preciso organizar meus brinquedos, 🧸
Preparar a Sala para Jogos, eu quero preparar a sala para jogos, 🏠
Ajudar na Cozinha, eu gostaria de ajudar na cozinha, 🍳",
Encontros e Visitas,"Receber Visita, eu quero receber uma visita, 🏠
Fazer uma Videoconferência, eu preciso fazer uma videoconferência, 📹
Convidar para uma Festa, eu quero convidar alguém para uma festa, 🎉
Planejar um Encontro, eu gostaria de planejar um encontro, 📅
Fazer uma Chamada de Vídeo, eu quero fazer uma chamada de vídeo, 📱",
Rotina de Manhã,"Tomar Café da Manhã, eu quero tomar café da manhã, 🥣
Vestir-se para o Dia, eu preciso vestir-me para o dia, 👕
Verificar a Agenda, eu quero verificar a agenda, 📅
Arrumar a Cama, eu preciso arrumar a cama, 🛏️
Preparar o Material Escolar, eu quero preparar meu material escolar, 🎒",
Momentos de Estudo,"Fazer uma Revisão Rápida, eu quero fazer uma revisão rápida, 📚
Completar um Exercício, eu preciso completar um exercício, 📝
Ler um Capítulo, eu gostaria de ler um capítulo, 📖
Organizar Materiais de Estudo, eu quero organizar meus materiais de estudo, 📂
Fazer um Desenho para Entender Melhor, eu quero fazer um desenho para entender melhor, 🎨",
Cuidados Pessoais,"Usar Protetor Solar, eu preciso usar protetor solar, 🧴
Hidratar a Pele, eu quero hidratar a pele, 🧴
Cortar as Unhas, eu preciso cortar as unhas, ✂️
Escovar o Cabelo, eu quero escovar o cabelo, 💇
Usar Óculos, eu preciso usar óculos, 🤓",
Atividades de Relaxamento,"Ouvir Música Calmante, eu quero ouvir música calmante, 🎶
Fazer Alongamentos, eu preciso fazer alongamentos, 🤸
Assistir a um Vídeo Relaxante, eu gostaria de assistir a um vídeo relaxante, 📺
Usar um Cobertor Confortável, eu quero usar um cobertor confortável, 🛌
Desenhar em um Caderno, eu quero desenhar em um caderno, 📓",
Saída de Casa,"Preparar a Mochila, eu preciso preparar a mochila, 🎒
Verificar o Tempo, eu quero verificar o tempo antes de sair, ☀️
Colocar Protetor Solar, eu preciso colocar protetor solar, 🧴
Levar uma Garrafa de Água, eu quero levar uma garrafa de água, 🍼
Avisar onde Vou, eu preciso avisar onde vou, 📢",
Dúvidas e Perguntas,"Pedir Explicação, eu quero pedir uma explicação, ❓
Consultar uma Informação, eu preciso consultar uma informação, 📚
Perguntar Sobre um Problema, eu gostaria de perguntar sobre um problema, 🤔
Esclarecer uma Dúvida, eu quero esclarecer uma dúvida, 🗨️
Pedir Ajuda com uma Tarefa, eu preciso de ajuda com uma tarefa, 🛠️",
Animais de Estimação,"Dar Comida ao Pet, eu quero dar comida ao meu pet, 🐕
Levar para Passeio, eu preciso levar o pet para um passeio, 🦴
Trocar Água do Bebedouro, eu quero trocar a água do bebedouro, 💧
Escovar o Pet, eu preciso escovar o pet, 🐩
Brincar com o Pet, eu quero brincar com o pet, 🎾",
